rule,explanation,example
Use of Collective Nouns with Singular or Plural Verbs,Verb agreement depends on whether the group is seen as one unit or individuals.,The team is winning. / The team are arguing.
Use of Subject-Verb Agreement with Indefinite Pronouns,Use singular or plural verbs depending on the pronoun.,Nobody knows. / Many were invited.
Use of Comparative Forms with 'As...As',Express equality between two items using this structure.,She is as tall as her sister.
Use of Expressions with 'Enough',Place 'enough' after adjectives or before nouns.,He is strong enough. / I have enough money.
Use of Conditional Sentences with 'In Case',State a precautionary action in case something happens.,Take a coat in case it gets cold.
Use of Direct and Indirect Objects in Complex Sentences,Identify double objects in sentences with verbs allowing it.,She gave her friend a gift.
Use of Negative Prefixes to Reverse Meaning,"Use prefixes like 'un-', 'in-' to negate or reverse meanings.",His answer was incorrect.
Use of Emphatic Negative with Auxiliary 'Do',Use 'do not' or 'did not' to stress negation.,I do not agree with this decision.
Use of Indirect Speech for Yes/No Questions,Use 'if' or 'whether' to report yes/no questions.,He asked if I was ready.
Use of Reported Speech for Commands and Requests,Use 'tell' or 'ask' followed by infinitive to report commands and requests.,She told me to wait.
Use of Object Pronouns as Objects of Prepositions,Use object pronouns after prepositions.,Give it to me.
Use of Conditional Sentences with 'Provided That',Provided that' expresses a condition necessary for something to happen.,You can go out provided that you finish your homework.
Use of 'Used To' and 'Be Used To',Used to' shows past habits; 'be used to' means accustomed to something.,I used to smoke. / I am used to waking up early.
Use of Future Perfect to Show Completion,Use future perfect to indicate an action will be completed before a certain time.,"By next month, I will have saved enough money."
Use of Passive Voice for Formal Writing,Passive constructions are common in formal and academic writing to focus on actions.,The experiment was conducted by the scientists.
Use of 'Neither' and 'Nor' in Negative Sentences,"Join two negative alternatives, agreeing the verb with the nearer subject.",Neither the boys nor the girl is present.
Use of Present Perfect for Experiences,Express life experiences without specifying time.,I have traveled to Japan twice.
Use of 'So That' for Expressing Purpose,Introduce purpose clauses showing intention.,Speak louder so that everyone can hear you.
Use of 'Despite' and 'In Spite Of' for Contrast,Both function similarly to show contrast or unexpected results.,"Despite the rain, we went out. / In spite of being tired, she worked late."
Use of 'Whether Or Not' for Emphasizing Alternatives,"Include all possibilities, regardless of condition.",I’ll come whether or not you join me.
Use of Modal Verbs for Obligation,Must' indicates strong necessity; 'have to' more external obligation.,You must wear a helmet. / I have to work late today.
Use of Question Formation with Auxiliary Verbs,Form questions by inverting auxiliary and subject.,Did you finish the report?
Use of 'As If' and 'As Though' for Imaginary Situations,Describe unreal situations or emotions.,He talks as if he knows everything.
Use of Indirect Speech with Modal Changes,Modals change form in reported speech depending on tense.,He said he could come.
Use of Relative Pronouns for People and Things,"Who' for people, 'which' for things, 'that' for both in defining clauses.",The man who called is here. / The book that you lent me is good.
Use of Adjectives with '-ed' and '-ing',-ed' describes feelings; '-ing' describes causes or characteristics.,I’m bored. / The movie is boring.
Use of Emphasis with 'Do' and 'Did',Use 'do' or 'did' in positive sentences for emphasis.,I do like chocolate. / She did finish her homework.
Use of Passive Infinitives after Verbs,Infinitive phrases in passive form often follow verbs like 'want' or 'need'.,The letter needs to be signed.
Use of Causative 'Have' and 'Get' for Services,Indicate arranging or causing services to be done by someone else.,I had my hair cut. / He got his car repaired.
Use of Tag Questions for Negative Statements,Attach positive tags to negative statements for confirmation.,"You aren’t coming, are you?"
Use of 'Enough' before Nouns and After Adjectives,Enough' precedes nouns and follows adjectives or adverbs.,There is enough time. / He is fast enough.
Use of Future Continuous to Indicate Ongoing Future Actions,Describe actions ongoing at a specific future time.,I will be studying at 6 PM.
Use of Negative Imperatives,Use 'don’t' in imperatives to prevent actions.,Don’t touch that!
Use of 'So' + Adjective + 'That' for Expressing Results,Indicate that a quality or degree causes a consequence.,The test was so difficult that no one passed.
Use of Emphatic Negation with Auxiliary 'Do',Stress negative statements with auxiliary verbs.,I do not want to go.
Use of Question Tags with Modal Verbs,Tags reflect modals used in the sentence.,"You can swim, can’t you?"
Use of 'Whose' in Relative Clauses for Possession,Give possession in defining or non-defining clauses.,The boy whose bike was stolen is sad.
Use of Participial Phrases to Shorten Relative Clauses,Use participles to compress relative clauses.,The man running down the street is my friend.
Use of Conditional Inversion Without 'If',Omit 'if' and invert subject and verb in formal conditionals.,"Were I you, I would apologize."
Use of Adverb Placement for Manner and Frequency,Place manner adverbs after main verbs; frequency adverbs before.,She sings beautifully. / He often visits us.
Use of Future Perfect Passive,Describe future actions completed by a point in time in passive form.,The work will have been completed by Monday.
Use of Direct and Indirect Objects with Verbs,Many verbs have both direct and indirect objects; indirect benefits.,She gave me a gift.
Use of Comparatives with 'Much' and 'Far',Much' and 'far' intensify comparatives.,She is much better now. / He runs far faster than before.
Use of Emphatic Regional or Stylistic Repetitions,Repetition for emphasis or style in informal speech.,"I’m very, very happy."
Use of Modal Perfect for Past Possibility,Modal + have + past participle expresses past possibility or speculation.,She could have missed the train.
Use of Non-count Nouns with Quantifiers,"Use 'much', 'a little', 'some' with uncountable nouns.",There is some milk in the fridge.
Use of 'That' for Essential Relative Clauses,Use 'that' without commas for clauses needed to identify the noun.,The car that is red is mine.
Use of 'What' and 'Which' in Questions,"What' used for general questions, 'which' for choices.",What is your name? / Which color do you prefer?
Use of Indefinite Pronouns as Singular or Plural,Pronouns like 'everyone' are singular; 'few' plural.,Everyone is invited. / Few are interested.
Use of 'Some' and 'Any' in Positive and Negative Sentences,Some' used in affirmatives; 'any' in negatives/questions.,I have some friends. / I don’t have any money.
Use of Conditional Sentences with 'Provided That',Provided that' expresses a condition necessary for something to happen.,You can go out provided that you finish your homework.
Use of 'Used To' and 'Be Used To',Used to' shows past habits; 'be used to' means accustomed to something.,I used to smoke. / I am used to waking up early.
Use of Future Perfect to Show Completion,Use future perfect to indicate an action will be completed before a certain time.,"By next month, I will have saved enough money."
Use of Passive Voice for Formal Writing,Passive constructions are common in formal and academic writing to focus on actions.,The experiment was conducted by the scientists.
Use of 'Neither' and 'Nor' in Negative Sentences,"Join two negative alternatives, agreeing the verb with the nearer subject.",Neither the boys nor the girl is present.
Use of Present Perfect for Experiences,Express life experiences without specifying time.,I have traveled to Japan twice.
Use of 'So That' for Expressing Purpose,Introduce purpose clauses showing intention.,Speak louder so that everyone can hear you.
Use of 'Despite' and 'In Spite Of' for Contrast,Both function similarly to show contrast or unexpected results.,"Despite the rain, we went out. / In spite of being tired, she worked late."
Use of 'Whether Or Not' for Emphasizing Alternatives,"Include all possibilities, regardless of condition.",I’ll come whether or not you join me.
Use of Modal Verbs for Obligation,Must' indicates strong necessity; 'have to' more external obligation.,You must wear a helmet. / I have to work late today.
Use of Question Formation with Auxiliary Verbs,Form questions by inverting auxiliary and subject.,Did you finish the report?
Use of 'As If' and 'As Though' for Imaginary Situations,Describe unreal situations or emotions.,He talks as if he knows everything.
Use of Indirect Speech with Modal Changes,Modals change form in reported speech depending on tense.,He said he could come.
Use of Relative Pronouns for People and Things,"Who' for people, 'which' for things, 'that' for both in defining clauses.",The man who called is here. / The book that you lent me is good.
Use of Adjectives with '-ed' and '-ing',-ed' describes feelings; '-ing' describes causes or characteristics.,I’m bored. / The movie is boring.
Use of Emphasis with 'Do' and 'Did',Use 'do' or 'did' in positive sentences for emphasis.,I do like chocolate. / She did finish her homework.
Use of Passive Infinitives after Verbs,Infinitive phrases in passive form often follow verbs like 'want' or 'need'.,The letter needs to be signed.
Use of Causative 'Have' and 'Get' for Services,Indicate arranging or causing services to be done by someone else.,I had my hair cut. / He got his car repaired.
Use of Tag Questions for Negative Statements,Attach positive tags to negative statements for confirmation.,"You aren’t coming, are you?"
Use of 'Enough' before Nouns and After Adjectives,Enough' precedes nouns and follows adjectives or adverbs.,There is enough time. / He is fast enough.
Use of Future Continuous to Indicate Ongoing Future Actions,Describe actions that will be ongoing at a specific future time.,I will be studying at 6 PM.
Use of Negative Imperatives,Use 'don’t' in imperatives to prevent actions.,Don’t touch that!
Use of 'So' + Adjective + 'That' for Expressing Results,Indicate that a quality or degree causes a consequence.,The test was so difficult that no one passed.
Use of Emphatic Negation with Auxiliary 'Do',Stress negative statements with auxiliary verbs.,I do not want to go.
Use of Question Tags with Modal Verbs,Tags reflect modals used in the sentence.,"You can swim, can’t you?"
Use of 'Whose' in Relative Clauses for Possession,Give possession in defining or non-defining clauses.,The boy whose bike was stolen is sad.
Use of Participial Phrases to Shorten Relative Clauses,Use participles to compress relative clauses.,The man running down the street is my friend.
Use of Conditional Inversion Without 'If',Omit 'if' and invert subject and verb in formal conditionals.,"Were I you, I would apologize."
Use of Adverb Placement for Manner and Frequency,Place manner adverbs after main verbs; frequency adverbs before.,She sings beautifully. / He often visits us.
Use of Future Perfect Passive,Describe future actions completed by a point in time in passive form.,The work will have been completed by Monday.
Use of Direct and Indirect Objects with Verbs,Many verbs have both direct and indirect objects; indirect benefits.,She gave me a gift.
Use of Comparatives with 'Much' and 'Far',Much' and 'far' intensify comparatives.,She is much better now. / He runs far faster than before.
Use of Emphatic Regional or Stylistic Repetitions,Repetition for emphasis or style in informal speech.,"I’m very, very happy."
Use of Modal Perfect for Past Possibility,Modal + have + past participle expresses past possibility or speculation.,She could have missed the train.
Use of Non-count Nouns with Quantifiers,"Use 'much', 'a little', 'some' with uncountable nouns.",There is some milk in the fridge.
Use of 'That' for Essential Relative Clauses,Use 'that' without commas for clauses needed to identify the noun.,The car that is red is mine.
Use of 'What' and 'Which' in Questions,"What' used for general questions, 'which' for choices.",What is your name? / Which color do you prefer?
Use of Indefinite Pronouns as Singular or Plural,Pronouns like 'everyone' are singular; 'few' plural.,Everyone is invited. / Few are interested.
Use of 'Some' and 'Any' in Positive and Negative Sentences,Some' used in affirmatives; 'any' in negatives/questions.,I have some friends. / I don’t have any money.
Rule,Explanation,Example
Use of 'While' for Simultaneous Actions and Contrast,While' denotes two actions happening at the same time or introduces contrast.,"She was cooking while he watched TV. / While I like coffee, I prefer tea."
Use of Future Simple for Predictions Based on Opinion,Use 'will' to express personal predictions about the future.,I think it will snow tomorrow.
Use of 'Since' for Cause and Time,Since' can indicate causal relationship or starting point in time.,"Since you’re here, join us. / I have lived here since 2000."
Use of 'Whether' for Alternative Choices,Whether' introduces a choice between alternatives or a doubt.,I don’t know whether I will go.
Use of Comparative and Superlative Adverbs,Form comparative and superlative forms by adding '-er'/'-est' or using 'more'/'most'.,She runs faster than me. She is the most skillful player.
Use of 'Few' and 'A Few' with Countable Nouns,"Few' implies scarcity; 'a few' implies some, positive quantity.",Few people came to the party. / A few friends visited me.
Use of 'Little' and 'A Little' with Uncountable Nouns,Little' implies hardly any; 'a little' implies some amount.,There is little water left. / I have a little time.
Use of 'So' for Emphasis,So' emphasizes adjectives or adverbs.,She is so talented.
Use of Indirect Commands with 'Tell' and 'Ask',Use 'tell'/'ask' followed by object and infinitive to report commands.,He told me to wait outside.
Use of Future Perfect Continuous for Duration,Show the length of an action continuing until a future time.,"By next week, I will have been working here for a year."
Use of 'All' as Pronoun and Determiner,All' can refer to entire groups or quantities as pronoun or determiner.,All are welcome. / All students must attend.
Use of Adjectival Phrases after Nouns,Sometimes adjective phrases follow the noun they modify.,The problems involved are complicated.
Use of Modal Verbs for Permission vs Possibility,Can'/'could' for permission; 'may'/'might' for possibility.,Can I leave early? / It might rain later.
Use of Future Perfect Passive,Describe actions to be completed in the future by a certain time in passive form.,The project will have been completed by June.
Use of 'So' + Verb + Subject for Emphasis,Inversion after 'so' for emphasis.,So beautiful was the sunset that we stayed longer.
Use of Negative Questions for Confirmation,Use negative questions to confirm or expect agreement.,Didn’t you finish your homework?
Use of 'Than' for Comparisons,Than' introduces the second element in comparative sentences.,She is taller than her brother.
Use of Past Perfect Continuous for Emphasizing Duration,Emphasize duration of past continuous actions before another past event.,I had been waiting for an hour when he arrived.
Use of Question Tags Matching Verb Tense and Polarity,Tags reflect the tense and polarity of the main clause.,"You are coming, aren’t you?"
Use of Reported Speech with Time and Place Changes,Shift expressions of time and place when reporting speech.,He said yesterday became the day before.
Use of Passive Constructions with Get,Informal passive voice using 'get' instead of 'be'.,He got injured in the accident.
Use of 'Both' and 'Either' for Conjunctions,Both' refers to two elements together; 'either' to one of two.,Both cats are asleep. / You can take either bus.
Use of Degrees of Comparison,"Use positive, comparative, and superlative forms appropriately.","Tall, taller, tallest."
Use of 'So That' for Purpose Clauses,Express the purpose of an action using 'so that'.,Turn it off so that you save power.
Use of 'Since' as a Conjunction and Preposition,Since' introduces time clauses or phrases.,I have known him since he was a child.
Use of 'Whereas' for Contrasting Statements,Introduce a contrast between two facts or ideas.,"She likes tea, whereas he prefers coffee."
Use of Modal Verbs to Express Ability and Requests,Can' for ability; 'Could' and 'Would' for polite requests.,I can swim. / Could you help me?
Use of 'Each' vs 'Every',Each' emphasizes individual items; 'Every' emphasizes all members collectively.,Each student must submit a report. / Every student passed the exam.
Use of Future Continuous to Express Temporary Actions,Depict ongoing actions at a specific future time.,I will be staying at the hotel next week.
Use of 'As If' to Express Unreal Ideas,Compare situations unlikely or unreal using 'as if'.,He talks as if he owns the place.
Use of Prepositions with Certain Adjectives,Some adjectives are followed by specific prepositions.,She is good at math. / They are afraid of spiders.
Use of Emphatic Negative Statements with 'Do',Strengthen negative statements using auxiliary 'do'.,I do not want to go.
Use of 'Several' with Countable Nouns,Several' refers to an indefinite but small number.,Several people have arrived.
Use of Passive Infinitive for Obligation,Infinitive forms in passive voice express necessity.,The form needs to be signed.
Use of Noun Clauses as Subjects and Objects,Clauses can replace nouns as subjects or objects.,What she said surprised me. / I believe that he is honest.
Use of Comparative Forms with Irregular Adjectives,Several adjectives have irregular comparative forms.,"Good, better, best."
Use of Clauses of Condition with 'Supposing',Supposing' introduces hypothetical conditions.,"Supposing you lost your job, what would you do?"
Use of Causative Constructions for Services,Indicate events arranged by someone else for them.,I had my car cleaned yesterday.
Use of Future Perfect to Predict Completion,Estimate completion of an action before a future moment.,"By next year, I will have graduated."
Use of Zero Conditional for Scientific Facts,Present simple verbs in both clauses describe facts that are always true.,"If you freeze water, it turns to ice."
Use of Present Simple for Habits and Routines,Present simple expresses regular or habitual actions.,She goes to the gym every day.
Use of Present Continuous for Temporary Actions,Describes actions happening now or around the current period that are temporary.,I am staying with a friend this week.
Use of Past Simple for Completed Actions,Describe actions completed at a specific time in the past.,They visited Paris last summer.
Use of Present Perfect for Unspecified Past,Express actions or experiences in the past with relevance to present.,I have seen that movie.
Use of Present Perfect Continuous for Duration,Express duration of an action starting in the past and continuing.,She has been working for three hours.
Use of Past Perfect for Past-before-Past,Express actions completed before a specific past time or action.,He had left before I arrived.
Use of Future Simple for Spontaneous Decisions,Use 'will' for decisions made at the moment of speaking.,I will call her now.
Use of 'Going To' for Planned Future Actions,Express intention or plans for the future.,I am going to study abroad next year.
Use of Future Continuous for Actions in Progress in Future,Indicate ongoing future actions at a specific time.,I will be traveling at this time tomorrow.
Use of Future Perfect for Completed Future Actions,Show actions that will be completed before a future time.,"By next month, I will have finished the project."
Use of Modal Verbs for Possibility and Probability,"Use modals like 'may', 'might', 'could' to express uncertain possibility.",She might come to the party.
Use of Modal Verbs for Permission and Requests,"Can', 'could', 'may', and 'would' express varying degrees of politeness in permission and requests.",May I leave early? / Could you help me?
Use of Modal Verbs for Obligation and Necessity,Must' and 'have to' express obligation; 'should' gives advice.,You must stop smoking. / You should eat more vegetables.
Use of Passive Voice to Focus on Action or Object,Highlight the action or recipient rather than the actor.,The window was broken last night.
Use of Reported Speech with Tense Changes,Shift verb tenses back when reporting speech in the past.,She said she was tired.
Use of Conditional Sentences Type 0-3,"Express real and unreal conditions in present, future, and past.","If you heat ice, it melts. / If I were you, I would apologize."
Use of 'If Only' for Wishes and Regrets,Express hopes or regrets about present or past situations.,If only I had more time.
Use of Relative Clauses with Defining and Non-defining Functions,"Define essential info with no commas, extra info with commas.","The man who called is here. / My brother, who lives abroad, is visiting."
Use of Comparative and Superlative Adjectives,Compare using '-er'/'-est' or 'more'/'most' based on adjective length.,She is taller than me. / He is the most intelligent student.
Use of 'Too' and 'Enough' for Quantitative Degrees,Indicate excess and sufficiency with 'too' and 'enough'.,The soup is too hot. / She is tall enough.
"Use of Articles 'A', 'An', and 'The'","Use 'a/an' for non-specific, 'the' for specific or known items.",I saw a cat. The cat was black.
Use of Quantifiers with Countable and Uncountable Nouns,"Use 'many', 'few' with countables; 'much', 'little' with uncountables.",Many books / little water.
Use of Adverbs of Frequency and Manner,Frequency adverbs usually precede main verbs; manner adverbs follow them.,She always arrives early. / He speaks softly.
"Use of Prepositions with Time, Place, and Movement","Use correct prepositions to indicate time (at, on, in), place, or direction.",Meet me at 5 PM. / He went to the park.
Use of Phrasal Verbs for Idiomatic Expressions,Combine verbs and particles for specific meanings.,She gave up smoking.
Use of Emphatic Structures with 'Do' for Positive Statements,Use 'do' in positive sentences for emphasis.,I do like that song.
Use of Tag Questions for Confirmation,Add short questions for confirmation matching subject and verb tense.,"You’re coming, aren’t you?"
Use of Imperatives for Instructions and Advice,Use base verb for commands or advice.,Please sit down.
Use of Gerunds and Infinitives after Certain Verbs,Some verbs require gerunds; others infinitives.,I enjoy reading. / He wants to leave.
Use of Causative Form with 'Have' and 'Get',Express actions done by someone else.,I had my car fixed. / She got her hair done.
Use of Conditionals with Inversion for Formality,Omit 'if' and invert subject and auxiliary verb.,"Had I known, I would have acted differently."
Use of Emphatic Negatives with Auxiliary Verbs,Strengthen negative sentences using 'do not' forms.,I do not agree with that.
Use of 'Such' and 'So' for Emphasis,Such' modifies nouns; 'so' modifies adjectives and adverbs.,It was such a surprise. / She is so kind.
Use of Coordinating and Subordinating Conjunctions,"Connect clauses using 'and', 'but', 'because', 'although', etc.",I like coffee but not tea.
Use of 'Whether' in Indirect Questions and Statements,Introduce alternatives or doubts.,I don’t know whether he’ll come.
Use of Future Modals with Perfect Infinitives for Past Reference,"Express past certainty, ability, or obligation.",She must have left early.
Use of 'All' in Quantifying Nouns and Pronouns,Use 'all' to indicate entirety or totality.,All the students passed. / All are welcome.
Use of Collocations with Adjectives and Nouns,Some adjective-noun pairs are fixed expressions.,"Strong tea, heavy rain."
Use of Place and Time Adverbial Positions,Time adverbs usually at sentence end; place adverbs flexible.,I saw him yesterday. / He is at home.
Use of Fixed Expressions and Idioms,Common phrases may deviate from normal grammar rules.,Break a leg! / Hit the sack.
